trip_id,time_s,phase,lon_deg,lat_deg,altitude_m,payload_kg
T034,7895.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,7905.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,7915.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,7925.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,7935.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,7945.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,7955.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,7965.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,7975.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,7985.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,7995.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,8005.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,8015.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,8025.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,8035.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,8045.181432589932,交接,109.2381714,23.0778414,228.3,6.0
T034,8045.181432589932,爬升,109.2381714,23.0778414,228.3,0.0
T034,8054.622497382142,爬升,109.2381714,23.0778414,256.6231943766276,0.0
T034,8064.06356217435,爬升,109.2381714,23.0778414,284.94638875325523,0.0
T034,8073.50462696656,爬升,109.2381714,23.0778414,313.2695831298828,0.0
T034,8082.9456917587695,爬升,109.2381714,23.0778414,341.5927775065104,0.0
T034,8092.386756550978,爬升,109.2381714,23.0778414,369.915971883138,0.0
T034,8101.827821343188,爬升,109.2381714,23.0778414,398.2391662597656,0.0
T034,8101.827821343188,巡航,109.2381714,23.0778414,398.2391662597656,0.0
T034,8111.718457816415,巡航,109.23805878923076,23.076774755384616,398.2391662597656,0.0
T034,8121.609094289642,巡航,109.23794617846154,23.07570811076923,398.2391662597656,0.0
T034,8131.499730762869,巡航,109.2378335676923,23.074641466153846,398.2391662597656,0.0
T034,8141.390367236097,巡航,109.23772095692307,23.07357482153846,398.2391662597656,0.0
T034,8151.281003709323,巡航,109.23760834615385,23.072508176923076,398.2391662597656,0.0
T034,8161.171640182551,巡航,109.23749573538461,23.07144153230769,398.2391662597656,0.0
T034,8171.062276655778,巡航,109.23738312461538,23.070374887692306,398.2391662597656,0.0
