uav_id,trip_id,phase,start_s,end_s,run_id
U07,T007,下降,831.7412336108687,876.2695386645796,20260923_191417_344885
U07,T007,交接,876.2695386645796,1380.2695386645796,20260923_191417_344885
U07,T007,爬升,1380.2695386645796,1415.8921827075483,20260923_191417_344885
U07,T007,巡航,1415.8921827075483,1619.4907722754483,20260923_191417_344885
U07,T007,下降,1619.4907722754483,1692.1690773291593,20260923_191417_344885
U08,T008,准备装载,0.0,510.0,20260923_191417_344885
U08,T008,爬升,510.0,582.5017016601563,20260923_191417_344885
U08,T008,巡航,582.5017016601563,1076.5890653324352,20260923_191417_344885
U08,T008,下降,1076.5890653324352,1121.3161924076305,20260923_191417_344885
U08,T008,交接,1121.3161924076305,1553.3161924076305,20260923_191417_344885
U08,T008,爬升,1553.3161924076305,1589.0978940677867,20260923_191417_344885
U08,T008,巡航,1589.0978940677867,2083.1852577400655,20260923_191417_344885
U08,T008,下降,2083.1852577400655,2173.812384815261,20260923_191417_344885
U01,T009,准备装载,1253.4781941236301,1583.4781941236301,20260923_191417_344885
U01,T009,爬升,1583.4781941236301,1638.6544982414687,20260923_191417_344885
U01,T009,巡航,1638.6544982414687,2114.0832450978887,20260923_191417_344885
U01,T009,下降,2114.0832450978887,2139.374810039295,20260923_191417_344885
U01,T009,交接,2139.374810039295,2319.374810039295,20260923_191417_344885
U01,T009,爬升,2319.374810039295,2340.4511141571334,20260923_191417_344885
U01,T009,巡航,2340.4511141571334,2815.879861013553,20260923_191417_344885
U01,T009,下降,2815.879861013553,2882.0914259549595,20260923_191417_344885
U06,T010,准备装载,1390.4723251020891,1780.4723251020891,20260923_191417_344885
U06,T010,爬升,1780.4723251020891,1875.6726567264382,20260923_191417_344885
U06,T010,巡航,1875.6726567264382,2368.3721025249633,20260923_191417_344885
U06,T010,下降,2368.3721025249633,2421.772500474182,20260923_191417_344885
U06,T010,交接,2421.772500474182,2661.772500474182,20260923_191417_344885
U06,T010,爬升,2661.772500474182,2706.2728320985307,20260923_191417_344885
U06,T010,巡航,2706.2728320985307,3198.972277897056,20260923_191417_344885
U06,T010,下降,3198.972277897056,3313.2126758462746,20260923_191417_344885
U05,T011,准备装载,1435.3795658311299,1825.3795658311299,20260923_191417_344885
U05,T011,爬升,1825.3795658311299,1980.1286950629008,20260923_191417_344885
U05,T011,巡航,1980.1286950629008,2341.4354856104437,20260923_191417_344885
U05,T011,下降,2341.4354856104437,2437.8144406885685,20260923_191417_344885
U05,T011,交接,2437.8144406885685,2677.8144406885685,20260923_191417_344885
U05,T011,爬升,2677.8144406885685,2758.130236587006,20260923_191417_344885
U05,T011,巡航,2758.130236587006,3119.4370271345488,20260923_191417_344885
U05,T011,下降,3119.4370271345488,3305.1359822126738,20260923_191417_344885
U03,T012,准备装载,1552.1137376764395,1882.1137376764395,20260923_191417_344885
U03,T012,爬升,1882.1137376764395,1938.0009894668042,20260923_191417_344885
U03,T012,巡航,1938.0009894668042,2172.007175523608,20260923_191417_344885
