battery_id,uav_type,trip_id,phase,start_s,end_s,soc_start,soc_end,run_id
A01,A,T014,任务占用,2125.821753963857,3424.4349857951865,1.0,0.507295233585912,20260923_191417_344885
A01,A,T014,充电,3424.4349857951865,4564.951182133501,0.507295233585912,1.0,20260923_191417_344885
C04,C,T015,任务占用,2683.812384815261,4675.90373441993,1.0,0.20949278300924457,20260923_191417_344885
C04,C,T015,充电,4675.90373441993,7222.0027045665665,0.20949278300924457,1.0,20260923_191417_344885
A03,A,T016,任务占用,2608.0703326671837,3440.093279325062,1.0,0.7483318133322732,20260923_191417_344885
A03,A,T016,充电,3440.093279325062,4267.2619219931075,0.7483318133322732,1.0,20260923_191417_344885
A02,A,T017,任务占用,3044.136684334318,3905.0361864116203,1.0,0.7289942806309345,20260923_191417_344885
A02,A,T017,充电,3905.0361864116203,4757.343621591405,0.7289942806309345,1.0,20260923_191417_344885
A04,A,T018,任务占用,3495.680668264692,4356.580170341995,1.0,0.7289942806309345,20260923_191417_344885
A04,A,T018,充电,4356.580170341995,5208.88760552178,0.7289942806309345,1.0,20260923_191417_344885
B02,B,T019,任务占用,3635.1359822126738,4394.236189506026,1.0,0.7482562990003014,20260923_191417_344885
B02,B,T019,充电,4394.236189506026,5497.25860457217,0.7482562990003014,1.0,20260923_191417_344885
B01,B,T020,任务占用,3643.2126758462746,4402.312883139626,1.0,0.7482562990003014,20260923_191417_344885
B01,B,T020,充电,4402.312883139626,5505.33529820577,0.7482562990003014,1.0,20260923_191417_344885
A06,A,T021,任务占用,3754.4349857951865,4615.334487872489,1.0,0.7289942806309345,20260923_191417_344885
A06,A,T021,充电,4615.334487872489,5467.641923052274,0.7289942806309345,1.0,20260923_191417_344885
A05,A,T022,任务占用,3995.9646704365687,4856.864172513871,1.0,0.7289942806309345,20260923_191417_344885
A05,A,T022,充电,4856.864172513871,5709.171607693656,0.7289942806309345,1.0,20260923_191417_344885
A03,A,T023,任务占用,4267.2619219931075,5880.999903927711,1.0,0.36190382450108904,20260923_191417_344885
A03,A,T023,充电,5880.999903927711,7210.524932076295,0.36190382450108904,1.0,20260923_191417_344885
A01,A,T024,任务占用,4686.580170341995,5610.058364465625,1.0,0.7135818770459792,20260923_191417_344885
A01,A,T024,充电,5610.058364465625,6482.401924305852,0.7135818770459792,1.0,20260923_191417_344885
B04,B,T025,任务占用,4899.3043244592145,5716.575579302389,1.0,0.7334315902319801,20260923_191417_344885
B04,B,T025,充电,5716.575579302389,6845.294156233624,0.7334315902319801,1.0,20260923_191417_344885
A02,A,T026,任务占用,4945.334487872489,6734.134673239673,1.0,0.3254765516173017,20260923_191417_344885
A02,A,T026,充电,6734.134673239673,8111.015156137181,0.3254765516173017,1.0,20260923_191417_344885
C01,C,T027,任务占用,5215.90373441993,7389.644368119558,1.0,0.21167867161077558,20260923_191417_344885
C01,C,T027,充电,7389.644368119558,9931.00724629621,0.21167867161077558,1.0,20260923_191417_344885
C02,C,T028,任务占用,5193.437538344977,6943.138751430439,1.0,0.27049853606452356,20260923_191417_344885
C02,C,T028,充电,6943.138751430439,9357.058589957305,0.27049853606452356,1.0,20260923_191417_344885
B03,B,T029,任务占用,5172.592205327028,6803.115508870498,1.0,0.39397030446877124,20260923_191417_344885
B03,B,T029,充电,6803.115508870498,8520.233647791294,0.39397030446877124,1.0,20260923_191417_344885
A04,A,T030,任务占用,5208.88760552178,6997.687790888964,1.0,0.3254765516173017,20260923_191417_344885
A04,A,T030,充电,6997.687790888964,8374.568273786472,0.3254765516173017,1.0,20260923_191417_344885
A06,A,T031,任务占用,5940.058364465625,6863.536558589256,1.0,0.7216564784758203,20260923_191417_344885
A06,A,T031,充电,6863.536558589256,7725.38313657069,0.7216564784758203,1.0,20260923_191417_344885
B02,B,T032,任务占用,6046.575579302389,7151.955145133519,1.0,0.6210954517753966,20260923_191417_344885
B02,B,T032,充电,7151.955145133519,8475.389695389498,0.6210954517753966,1.0,20260923_191417_344885
A05,A,T033,任务占用,6210.999903927711,7433.11364160415,1.0,0.5841692370782866,20260923_191417_344885
A05,A,T033,充电,7433.11364160415,8473.693633402378,0.5841692370782866,1.0,20260923_191417_344885
A01,A,T034,任务占用,7064.134673239673,8852.934858606857,1.0,0.348095360480416,20260923_191417_344885
A01,A,T034,充电,8852.934858606857,10200.410889982317,0.348095360480416,1.0,20260923_191417_344885
B01,B,T035,任务占用,7133.115508870498,7950.386763713674,1.0,0.7487076521848048,20260923_191417_344885
B01,B,T035,充电,7950.386763713674,9052.626833260012,0.7487076521848048,1.0,20260923_191417_344885
A03,A,T036,任务占用,7210.524932076295,8042.5478787341735,1.0,0.7552339522701667,20260923_191417_344885
A03,A,T036,充电,8042.5478787341735,8860.743740782957,0.7552339522701667,1.0,20260923_191417_344885
C04,C,T037,任务占用,7273.138751430439,8455.706788637039,1.0,0.5491503418952959,20260923_191417_344885
C04,C,T037,充电,8455.706788637039,10265.881047863897,0.5491503418952959,1.0,20260923_191417_344885
