from_node,to_node,distance_m,max_dem_m,cruise_altitude_m,climb_m,descent_m,uav_type,flight_time_s
S003,S013,10557.567201469448,505.94439697265625,555.9443969726562,217.44439697265625,204.24439697265626,B,858.0170378779112
S003,S013,10557.567201469448,505.94439697265625,555.9443969726562,217.44439697265625,204.24439697265626,C,892.9377707066872
S003,S014,12385.714579095842,542.7295532226562,592.7295532226562,254.22955322265625,241.72955322265625,A,1213.5778872879348
S003,S014,12385.714579095842,542.7295532226562,592.7295532226562,254.22955322265625,241.72955322265625,B,1007.1493109696708
S003,S014,12385.714579095842,542.7295532226562,592.7295532226562,254.22955322265625,241.72955322265625,C,1048.2709031734466
S003,S015,2616.366900890517,437.89886474609375,487.89886474609375,149.39886474609375,13.39886474609375,A,273.1897425546785
S003,S015,2616.366900890517,437.89886474609375,487.89886474609375,149.39886474609375,13.39886474609375,B,229.58362753983656
S003,S015,2616.366900890517,437.89886474609375,487.89886474609375,149.39886474609375,13.39886474609375,C,240.8834383308522
S004,O01,7714.6964491171675,348.2391662597656,398.2391662597656,169.9391662597656,270.53916625976564,A,807.7534260169255
S004,O01,7714.6964491171675,348.2391662597656,398.2391662597656,169.9391662597656,270.53916625976564,B,679.1751518649727
S004,O01,7714.6964491171675,348.2391662597656,398.2391662597656,169.9391662597656,270.53916625976564,C,717.5583462416002
S004,S001,4927.678447010787,358.7777404785156,408.7777404785156,180.4777404785156,224.77774047851562,A,560.7102136018103
S004,S001,4927.678447010787,358.7777404785156,408.7777404785156,180.4777404785156,224.77774047851562,B,478.5822394849639
S004,S001,4927.678447010787,358.7777404785156,408.7777404785156,180.4777404785156,224.77774047851562,C,513.0918628980498
S004,S002,2248.0176981866334,283.658203125,333.658203125,105.35820312499999,114.158203125,A,268.1174904738861
S004,S002,2248.0176981866334,283.658203125,333.658203125,105.35820312499999,114.158203125,B,230.6505288374422
S004,S002,2248.0176981866334,283.658203125,333.658203125,105.35820312499999,114.158203125,C,249.09022935827556
S004,S003,8231.97829525179,674.2682495117188,724.2682495117188,495.96824951171874,385.76824951171875,A,1005.6282409129096
S004,S003,8231.97829525179,674.2682495117188,724.2682495117188,495.96824951171874,385.76824951171875,B,868.4286026587131
S004,S003,8231.97829525179,674.2682495117188,724.2682495117188,495.96824951171874,385.76824951171875,C,940.0699775773329
